,Storage,Seq,Released,Alive,Dead,Critical,Dying,Poor,Replaced,Seq_std,Cum_Seq,Avg_Seq,Avg_Rel
0,5390609.677369081,369233.0755696215,46997.81840035655,31504,532,1,0,239,0,4.403433866304115,369233.0755696215,11.72019665977722,1.491804799401871
1,5790244.644183091,399487.4036699439,50498.46580709575,31486,550,0,0,208,475,4.991316714623755,768720.4792395654,12.687778811851105,1.6038387158450027
2,6180644.546064528,390247.6072386742,60367.13520127488,31480,556,0,0,168,971,5.097690563217639,1158968.0864782396,12.396683838585584,1.917634536253967
3,6690493.86449384,509697.09463921655,61885.92652656895,31498,538,0,0,138,1474,6.866127563532404,1668665.1811174562,16.18188756870965,1.9647573346424836
4,7202971.917659007,512332.9580818993,66389.65942595959,31467,569,0,0,117,1937,7.013601914014817,2180998.1391993556,16.28159526112751,2.109818521815222
5,7709635.634770221,506507.0018308497,74428.26044951756,31440,596,0,0,95,2435,7.095954305942357,2687505.1410302054,16.110273595128806,2.3673110829999224
6,8262674.214385614,552875.759071624,75397.89191271896,31481,555,0,0,83,2971,7.912744872968173,3240380.9001018293,17.56220447481414,2.3950284906044583
7,8745888.569780357,483054.8127287871,72622.1855010771,31530,506,0,0,73,3476,7.010623016118292,3723435.712830616,15.320482484262197,2.3032726134182395
8,9217757.801956676,471729.53954720695,77388.56438887399,31563,473,0,0,63,3934,6.9376754290564495,4195165.252377823,14.945649638729112,2.4518760697295563
9,9763109.099002909,545216.0598011323,87181.23835341423,31481,555,0,0,43,4366,8.15531246087706,4740381.312178955,17.318892659100165,2.7693287491952043
10,10293902.678345697,530635.09124679,86992.74974177478,31486,550,0,0,36,4867,8.061306988942917,5271016.403425746,16.853048696144,2.7629025516666066
11,10864406.205499101,570349.7264430446,89071.8382468111,31527,509,0,0,19,5361,8.761446049599206,5841366.1298687905,18.090834092779033,2.8252557568690677
12,11390628.201050306,526081.5497281159,94603.51648112174,31517,519,0,0,11,5820,8.166265970042542,6367447.6795969065,16.691993201387056,3.001666290608933
13,11984646.028185343,593877.2895699154,97545.72139269325,31488,548,0,0,8,6282,9.326111609767029,6961324.969166822,18.860432214491723,3.0978697088634797
14,12524807.513577312,540011.6631796712,97833.10062908859,31495,541,0,0,4,6762,8.563913286676806,7501336.632346493,17.145948981732694,3.106305782793732
15,13019914.140372062,494960.18855243624,105325.37094074815,31520,516,0,0,1,7253,7.943154672657463,7996296.82089893,15.703051667272723,3.3415409562420098
16,13492171.373321844,472117.23056070827,111412.2080346818,31480,556,0,0,0,7714,7.678862976001617,8468414.051459638,14.997370729374468,3.5391425678107304
17,13957869.778450467,465545.15844979574,113825.8787225795,31497,539,0,0,0,8208,7.664383199067091,8933959.209909433,14.780619057364058,3.613864136983824
18,14486968.086721133,528950.9473372257,122315.5398764276,31465,571,0,0,0,8687,8.810227267604516,9462910.157246659,16.81077220204118,3.8873522922748323
19,14963289.58399184,476163.7422247569,118486.47943513581,31513,523,0,0,0,9194,8.005817955046655,9939073.899471415,15.110073373679336,3.759923823029728
20,15419930.756848399,456492.6621731258,118573.68975090157,31527,509,0,0,0,9676,7.7471308940541155,10395566.561644541,14.479419614080813,3.7610203873156838
21,15866409.069790356,446327.2648182672,122438.94121541426,31541,495,0,0,0,10147,7.640545363318197,10841893.826462809,14.150701145121182,3.881897885780865
22,16337016.180866955,470475.0878048441,124627.83495518965,31499,537,0,0,0,10584,8.12440375449931,11312368.914267654,14.936191237970858,3.9565648101587243
23,16808714.634015672,471550.92546804145,131874.15983571272,31481,555,0,0,0,11066,8.21915927233618,11783919.839735694,14.978905545187303,4.189007967844501
24,17279941.15679854,471070.92523134063,137516.90804320475,31493,543,0,0,0,11566,8.273777624791366,12254990.764967036,14.957956537368323,4.366586480907019
