id,species,height,dbh,lat,lng,condition
9437,Deciduous,15,10.16,52.311573,4.960622,fair
9439,Deciduous,9,7.62,52.31169,4.960512,good
9448,Deciduous,9,7.62,52.314108,4.96023,excellent
9449,Deciduous,6,2.54,52.31413,4.960247,fair
9475,Deciduous,18,12.7,52.321833,4.9908,good
9476,Deciduous,9,7.62,52.321876,4.990698,excellent
9477,Deciduous,15,10.16,52.321876,4.990722,fair
9479,Deciduous,15,10.16,52.321898,4.990751,good
9480,Deciduous,9,7.62,52.321921,4.99077,excellent
9505,Deciduous,9,7.62,52.313953,4.960236,fair
9544,Deciduous,9,7.62,52.318319,4.993622,good
9545,Deciduous,9,7.62,52.318327,4.993565,excellent
9656,Deciduous,18,12.7,52.320897,4.991759,fair
9670,Deciduous,15,10.16,52.317922,4.993787,good
9711,Deciduous,9,7.62,52.320924,4.991524,excellent
9713,Deciduous,6,2.54,52.321025,4.991489,fair
9715,Deciduous,9,7.62,52.321503,4.990991,good
9735,Deciduous,18,12.7,52.317421,4.994004,excellent
9766,Deciduous,6,2.54,52.314315,4.961074,fair
9768,Deciduous,6,2.54,52.314234,4.961123,good
9842,Deciduous,9,7.62,52.32077,4.992922,excellent
9844,Deciduous,9,7.62,52.320799,4.993504,fair
9858,Deciduous,9,7.62,52.310931,4.960356,good
9867,Deciduous,18,12.7,52.311361,4.95996,excellent
9918,Deciduous,9,7.62,52.319864,4.993852,fair
9924,Deciduous,9,5.08,52.311604,4.959695,good
9925,Deciduous,9,7.62,52.311646,4.959658,excellent
9926,Deciduous,9,7.62,52.311675,4.959763,fair
9930,Deciduous,9,7.62,52.312045,4.959524,good
9931,Deciduous,9,7.62,52.312041,4.959264,excellent
9934,Deciduous,9,7.62,52.312208,4.958984,fair
9935,Deciduous,9,7.62,52.312166,4.959024,good
9986,Deciduous,9,7.62,52.312366,4.958909,excellent
9987,Deciduous,9,7.62,52.312339,4.958967,fair
9988,Deciduous,9,7.62,52.312315,4.95905,good
9991,Deciduous,9,7.62,52.312547,4.958696,excellent
9992,Deciduous,18,12.7,52.312611,4.958646,fair
10025,Deciduous,9,7.62,52.315147,4.961582,good
10045,Deciduous,18,12.7,52.319733,4.994131,excellent
10082,Deciduous,18,12.7,52.315189,4.96164,fair
10084,Deciduous,9,7.62,52.315159,4.961444,good
10087,Deciduous,9,7.62,52.315252,4.961681,excellent
10089,Deciduous,18,12.7,52.315257,4.961748,fair
10092,Deciduous,9,7.62,52.315133,4.961829,good
10111,Deciduous,18,12.7,52.310359,4.960923,excellent
10123,Deciduous,18,12.7,52.310589,4.960503,fair
10128,Deciduous,18,12.7,52.312367,4.959587,good
10130,Deciduous,18,12.7,52.312355,4.959704,excellent
10132,Deciduous,9,7.62,52.312498,4.959663,fair
10139,Deciduous,9,7.62,52.31513,4.961383,good
10143,Deciduous,9,7.62,52.315285,4.961396,excellent
10146,Deciduous,18,12.7,52.3154,4.961501,fair
10147,Deciduous,9,7.62,52.315444,4.961497,good
10149,Deciduous,9,7.62,52.315242,4.961831,excellent
10150,Deciduous,9,7.62,52.315171,4.961877,fair
10168,Deciduous,15,10.16,52.319456,4.993774,good
10177,Deciduous,18,12.7,52.310362,4.96175,excellent
10179,Deciduous,9,7.62,52.310364,4.961566,fair
10184,Deciduous,9,7.62,52.310473,4.961441,good
10187,Deciduous,9,5.08,52.3134,4.959085,excellent
10192,Deciduous,9,5.08,52.313448,4.959123,fair
10199,Deciduous,9,7.62,52.313565,4.958988,good
10203,Deciduous,18,12.7,52.315034,4.961686,excellent
10204,Deciduous,18,12.7,52.315059,4.961737,fair
10205,Deciduous,9,7.62,52.315088,4.961814,good
10207,Deciduous,9,7.62,52.314967,4.961581,excellent
10231,Deciduous,9,7.62,52.310496,4.961385,fair
10232,Deciduous,18,12.7,52.310537,4.961485,good
10236,Deciduous,18,12.7,52.310571,4.961541,excellent
10237,Deciduous,15,10.16,52.310586,4.961501,fair
10238,Deciduous,15,10.16,52.310587,4.96155,good
10239,Deciduous,18,12.7,52.310564,4.961415,excellent
10240,Deciduous,15,10.16,52.310586,4.961454,fair
10251,Deciduous,18,12.7,52.313579,4.959087,good
10307,Deciduous,18,12.7,52.328754,4.983722,excellent
10312,Deciduous,15,10.16,52.328548,4.98424,fair
10364,Deciduous,18,12.7,52.328574,4.984203,good
10376,Deciduous,15,10.16,52.328667,4.984037,excellent
10429,Deciduous,9,7.62,52.328789,4.984112,fair
10430,Deciduous,15,10.16,52.328755,4.983845,good
10432,Deciduous,9,7.62,52.328814,4.983823,excellent
10434,Deciduous,15,10.16,52.328785,4.983735,fair
10441,Deciduous,24,17.78,52.328859,4.983784,good
10443,Deciduous,9,7.62,52.328781,4.983692,excellent
10452,Deciduous,15,10.16,52.328188,4.986714,fair
10485,Deciduous,15,10.16,52.328519,4.98407,good
10487,Deciduous,9,7.62,52.328458,4.984188,excellent
10488,Deciduous,18,12.7,52.328469,4.984223,fair
10492,Deciduous,9,7.62,52.328494,4.984349,good
10496,Deciduous,15,10.16,52.328226,4.985983,excellent
10498,Deciduous,18,12.7,52.328239,4.98589,fair
10500,Deciduous,15,10.16,52.32827,4.98584,good
10501,Deciduous,15,10.16,52.328128,4.985706,excellent
10502,Deciduous,9,7.62,52.3281,4.985743,fair
10542,Deciduous,9,7.62,52.330159,4.982886,good
10555,Deciduous,9,7.62,52.328153,4.985614,excellent
10589,Deciduous,9,7.62,52.330023,4.982692,fair
10590,Deciduous,9,7.62,52.330009,4.982672,good
10591,Deciduous,9,7.62,52.330225,4.983021,excellent
10593,Deciduous,9,7.62,52.330159,4.983288,fair
10594,Deciduous,9,5.08,52.330081,4.983271,good
10597,Deciduous,9,7.62,52.329801,4.985397,excellent
10598,Deciduous,9,7.62,52.329721,4.985416,fair
10603,Deciduous,9,7.62,52.328316,4.986858,good
10606,Deciduous,15,10.16,52.328281,4.986563,excellent
10609,Deciduous,15,10.16,52.328314,4.985866,fair
10610,Deciduous,15,10.16,52.328297,4.98584,good
10644,Deciduous,9,7.62,52.329744,4.985503,excellent
10645,Deciduous,9,7.62,52.329678,4.985612,fair
10646,Deciduous,9,5.08,52.329603,4.985681,good
10647,Deciduous,9,7.62,52.32957,4.985757,excellent
10648,Deciduous,9,7.62,52.329549,4.985789,fair
10649,Deciduous,9,7.62,52.329491,4.985851,good
10650,Deciduous,9,7.62,52.329509,4.985879,excellent
10652,Deciduous,15,10.16,52.329472,4.985919,fair
10653,Deciduous,9,7.62,52.329467,4.985887,good
10654,Deciduous,9,7.62,52.329433,4.985943,excellent
10659,Deciduous,9,7.62,52.330137,4.984658,fair
10707,Deciduous,15,10.16,52.330162,4.984597,good
10708,Deciduous,9,7.62,52.330156,4.984573,excellent
10710,Deciduous,9,7.62,52.330185,4.984507,fair
10711,Deciduous,9,7.62,52.330216,4.984499,good
10712,Deciduous,9,7.62,52.330229,4.984476,excellent
10713,Deciduous,9,7.62,52.330217,4.984407,fair
10714,Deciduous,15,10.16,52.33024,4.984363,good
10715,Deciduous,9,5.08,52.330256,4.984336,excellent
10721,Deciduous,9,5.08,52.330381,4.983877,fair
10779,Deciduous,9,7.62,52.330301,4.984114,good
10780,Deciduous,9,7.62,52.330291,4.984089,excellent
10782,Deciduous,9,5.08,52.330408,4.983749,fair
10787,Deciduous,9,5.08,52.33041,4.983579,good
10793,Deciduous,9,7.62,52.330432,4.983415,excellent
10842,Deciduous,9,5.08,52.330457,4.983259,fair
10844,Deciduous,9,7.62,52.33047,4.983227,good
