id,species,height,dbh,lat,lng,condition
117,Deciduous,18,12.7,52.360396,4.899058,excellent
118,Deciduous,9,5.08,52.360577,4.899204,excellent
119,Deciduous,9,7.62,52.358968,4.891487,excellent
120,Evergreen,6,2.54,52.360449,4.898323,good
121,Evergreen,9,5.08,52.360041,4.898416,fair
122,Evergreen,9,5.08,52.360454,4.898355,good
123,Evergreen,9,5.08,52.360425,4.89835,excellent
124,Evergreen,9,5.08,52.361131,4.900524,good
125,Evergreen,9,7.62,52.36071,4.898968,excellent
126,Evergreen,9,5.08,52.359998,4.89872,fair
127,Deciduous,9,5.08,52.359785,4.899568,good
128,Deciduous,6,2.54,52.358975,4.892701,fair
129,Deciduous,6,2.54,52.361714,4.900413,excellent
130,Deciduous,6,2.54,52.361718,4.900436,fair
131,Deciduous,6,2.54,52.361723,4.900464,good
132,Deciduous,6,2.54,52.361734,4.90052,excellent
133,Deciduous,6,2.54,52.359552,4.887433,good
134,Deciduous,9,5.08,52.359628,4.887447,excellent
135,Deciduous,6,2.54,52.359662,4.887392,good
136,Deciduous,9,5.08,52.359296,4.891294,excellent
137,Deciduous,9,5.08,52.359171,4.889594,fair
138,Deciduous,9,5.08,52.358641,4.891533,fair
139,Deciduous,6,2.54,52.360702,4.900718,excellent
140,Deciduous,9,5.08,52.359713,4.888701,good
141,Deciduous,6,2.54,52.358611,4.890252,good
142,Deciduous,6,2.54,52.360038,4.898477,excellent
143,Deciduous,6,2.54,52.366009,4.896107,fair
144,Deciduous,6,2.54,52.365979,4.896139,good
145,Deciduous,6,2.54,52.359432,4.889045,fair
146,Deciduous,9,5.08,52.359931,4.888982,excellent
147,Deciduous,6,2.54,52.363128,4.885568,good
148,Deciduous,9,5.08,52.363055,4.885629,excellent
149,Deciduous,6,2.54,52.358906,4.892276,good
150,Deciduous,9,5.08,52.36171,4.900391,excellent
151,Deciduous,9,5.08,52.35872,4.891317,fair
152,Deciduous,9,7.62,52.363084,4.896126,good
153,Deciduous,9,5.08,52.363575,4.897908,excellent
154,Deciduous,9,7.62,52.362968,4.895866,fair
155,Deciduous,9,7.62,52.365479,4.900334,good
156,Deciduous,15,10.16,52.360274,4.896514,fair
157,Deciduous,9,5.08,52.360531,4.898786,good
158,Deciduous,9,5.08,52.362126,4.896194,excellent
159,Deciduous,15,10.16,52.360135,4.898479,fair
160,Deciduous,6,2.54,52.360677,4.900568,good
161,Deciduous,9,7.62,52.360263,4.898484,excellent
162,Deciduous,9,7.62,52.36035,4.898461,fair
163,Deciduous,9,7.62,52.360381,4.898472,good
164,Deciduous,9,5.08,52.358593,4.889427,good
165,Deciduous,15,10.16,52.359233,4.888304,fair
166,Deciduous,15,10.16,52.359187,4.888361,good
167,Deciduous,18,12.7,52.359192,4.887144,fair
168,Deciduous,9,5.08,52.360853,4.885716,excellent
169,Deciduous,15,10.16,52.359174,4.888284,good
170,Deciduous,15,10.16,52.358591,4.889164,excellent
